,player_id,month_year,avg_normalized_efficiency
0,--o-o-o--,2013-06-01,0.275668173089834
1,--o-o-o--,2013-07-01,0.24625043116037654
2,--o-o-o--,2013-08-01,0.2726155867060812
3,--o-o-o--,2013-09-01,0.2203776482247428
4,--o-o-o--,2013-10-01,0.41235405903379896
5,--o-o-o--,2013-11-01,0.18552345321561947
6,--o-o-o--,2013-12-01,0.216391791241855
7,--o-o-o--,2014-01-01,0.39743399036455324
8,--o-o-o--,2014-02-01,0.31295033880474865
9,--o-o-o--,2014-03-01,0.22671183961918717
10,--o-o-o--,2014-04-01,0.3193925298626629
11,--o-o-o--,2014-05-01,0.3459979773762628
12,--o-o-o--,2014-06-01,0.5619524945741482
13,--o-o-o--,2014-07-01,0.37312403950637385
14,--o-o-o--,2014-08-01,0.15225700853386676
15,--o-o-o--,2014-09-01,0.2324501581858973
16,--o-o-o--,2014-10-01,0.35328019185021964
17,--o-o-o--,2014-11-01,0.1937405422778241
18,--o-o-o--,2014-12-01,0.357502356613555
19,--o-o-o--,2015-01-01,0.3130537585420749
20,--o-o-o--,2015-02-01,0.41799544202356054
21,--o-o-o--,2015-04-01,0.23874125317936878
22,--o-o-o--,2015-05-01,0.3330877611264772
23,--o-o-o--,2015-06-01,0.2188237881998894
24,--o-o-o--,2015-07-01,0.22868922488570756
25,--o-o-o--,2015-08-01,0.36410626571929294
26,--o-o-o--,2015-09-01,0.2370182472384249
27,--o-o-o--,2015-12-01,0.22669306046027893
28,-johnnyc-,2014-05-01,0.1829616540482395
29,-johnnyc-,2014-06-01,0.18078961635133373
30,-johnnyc-,2014-07-01,0.35603195668153403
31,-johnnyc-,2014-08-01,0.0751640326244016
32,-johnnyc-,2014-09-01,0.20107341383937127
33,-johnnyc-,2014-10-01,0.4
34,-johnnyc-,2014-11-01,0.08695652173913043
35,-johnnyc-,2014-12-01,0.28458940846784336
36,-johnnyc-,2015-01-01,0.258998768321394
37,-johnnyc-,2015-02-01,0.2011894175903384
38,-johnnyc-,2015-03-01,0.15694604643555285
39,-johnnyc-,2015-04-01,0.25447733077841195
40,-johnnyc-,2015-05-01,0.27778575777522974
41,-johnnyc-,2015-07-01,0.18563557235956843
42,-johnnyc-,2015-08-01,0.48890164561806354
43,-johnnyc-,2015-09-01,0.2505586430085928
